"volcano_number" "volcano_name" "eruption_number" "eruption_start_year" "event_number" "event_type" "event_remarks" "event_date_year" "event_date_month" "event_date_day"
"1" 210020 "Chaine des Puys" 10011 -4040 100001 "Explosion" NA NA NA NA
"2" 210020 "Chaine des Puys" 10011 -4040 100002 "Scoria" NA NA NA NA
"3" 210020 "Chaine des Puys" 10011 -4040 100003 "Pyroclastic flow" NA NA NA NA
"4" 210020 "Chaine des Puys" 10011 -4040 100004 "Lava flow(s)" NA NA NA NA
"5" 210020 "Chaine des Puys" 10011 -4040 100005 "Cinder cone formation" NA NA NA NA
"6" 210020 "Chaine des Puys" 10011 -4040 100006 "Pumice" NA NA NA NA
"7" 210040 "Calatrava Volcanic Field" 10012 -3600 100008 "Explosion" NA NA NA NA
"8" 210040 "Calatrava Volcanic Field" 10012 -3600 100009 "Pyroclastic flow" NA NA NA NA
"9" 211003 "Vulsini" 10014 -104 100019 "Flames" NA NA NA NA
"10" 211004 "Colli Albani" 10015 -600 100021 "Phreatic activity" "Uncertain" NA NA NA
"11" 211010 "Campi Flegrei" 10018 -8480 100025 "Explosion" NA NA NA NA
"12" 211010 "Campi Flegrei" 10018 -8480 100026 "Pyroclastic flow" NA NA NA NA
"13" 211010 "Campi Flegrei" 10018 -8480 100027 "Pumice" NA NA NA NA
"14" 211010 "Campi Flegrei" 10019 -7980 100030 "Explosion" NA NA NA NA
"15" 211010 "Campi Flegrei" 10019 -7980 100031 "Ash" NA NA NA NA
"16" 211010 "Campi Flegrei" 10019 -7980 100032 "Lapilli" NA NA NA NA
"17" 211010 "Campi Flegrei" 10019 -7980 100033 "Pyroclastic flow" NA NA NA NA
"18" 211010 "Campi Flegrei" 10019 -7980 100034 "Pumice" NA NA NA NA
"19" 211010 "Campi Flegrei" 10025 -2580 100036 "Explosion" NA NA NA NA
"20" 211010 "Campi Flegrei" 10025 -2580 100037 "Ash" NA NA NA NA
"21" 211010 "Campi Flegrei" 10025 -2580 100038 "Lapilli" NA NA NA NA
"22" 211010 "Campi Flegrei" 10025 -2580 100039 "Pyroclastic flow" NA NA NA NA
"23" 211010 "Campi Flegrei" 10026 -2500 100041 "Explosion" NA NA NA NA
"24" 211010 "Campi Flegrei" 10026 -2500 100042 "Ash" NA NA NA NA
"25" 211010 "Campi Flegrei" 10026 -2500 100043 "Pyroclastic flow" NA NA NA NA
"26" 211010 "Campi Flegrei" 10026 -2500 100044 "Pumice" NA NA NA NA
"27" 211010 "Campi Flegrei" 10027 -2440 100046 "Explosion" NA NA NA NA
"28" 211010 "Campi Flegrei" 10027 -2440 100047 "Ash" NA NA NA NA
"29" 211010 "Campi Flegrei" 10027 -2440 100048 "Lapilli" NA NA NA NA
"30" 211010 "Campi Flegrei" 10027 -2440 100049 "Pyroclastic flow" NA NA NA NA
"31" 211010 "Campi Flegrei" 10027 -2440 100050 "Pumice" NA NA NA NA
"32" 211010 "Campi Flegrei" 10028 -2330 100052 "Explosion" NA NA NA NA
"33" 211010 "Campi Flegrei" 10028 -2330 100053 "Ash" NA NA NA NA
"34" 211010 "Campi Flegrei" 10028 -2330 100054 "Lapilli" NA NA NA NA
"35" 211010 "Campi Flegrei" 10028 -2330 100055 "Pyroclastic flow" NA NA NA NA
"36" 211010 "Campi Flegrei" 10029 -2220 100057 "Explosion" NA NA NA NA
"37" 211010 "Campi Flegrei" 10029 -2220 100058 "Ash" NA NA NA NA
"38" 211010 "Campi Flegrei" 10029 -2220 100059 "Lapilli" NA NA NA NA
"39" 211010 "Campi Flegrei" 10029 -2220 100060 "Pyroclastic flow" NA NA NA NA
"40" 211010 "Campi Flegrei" 10029 -2220 100061 "Pumice" NA NA NA NA
"41" 263300 "Semeru" 10030 1915 100063 "Explosion" "Uncertain" NA NA NA
"42" 263300 "Semeru" 10030 1915 100064 "Lahar or mudflow" NA NA NA NA
"43" 263300 "Semeru" 10031 1941 100066 "Explosion" NA NA NA NA
"44" 263300 "Semeru" 10031 1941 100067 "Ash" NA NA NA NA
"45" 263300 "Semeru" 10031 1941 100068 "Bombs" NA NA NA NA
"46" 211010 "Campi Flegrei" 10037 -1870 100069 "Ash" NA NA NA NA
"47" 211010 "Campi Flegrei" 10037 -1870 100070 "Scoria" NA NA NA NA
"48" 211010 "Campi Flegrei" 10037 -1870 100071 "Pyroclastic flow" NA NA NA NA
"49" 211010 "Campi Flegrei" 10037 -1870 100072 "Lava flow(s)" NA NA NA NA
"50" 211010 "Campi Flegrei" 10037 -1870 100073 "Lava dome formation" NA NA NA NA
"51" 211010 "Campi Flegrei" 10037 -1870 100074 "Pumice" NA NA NA NA
"52" 211010 "Campi Flegrei" 10037 -1870 100075 "Phreatomagmatic eruption" NA NA NA NA
"53" 211010 "Campi Flegrei" 10038 -1650 100077 "Explosion" NA NA NA NA
"54" 211010 "Campi Flegrei" 10038 -1650 100078 "Ash" NA NA NA NA
"55" 211010 "Campi Flegrei" 10038 -1650 100079 "Pyroclastic flow" NA NA NA NA
"56" 211010 "Campi Flegrei" 10038 -1650 100080 "Lava flow(s)" NA NA NA NA
"57" 213020 "Nemrut Dagi" 10039 -5745 100081 "Explosion" NA NA NA NA
"58" 213020 "Nemrut Dagi" 10039 -5745 100082 "Ash" NA NA NA NA
"59" 211010 "Campi Flegrei" 10040 1198 100084 "Phreatic activity" NA NA NA NA
"60" 211010 "Campi Flegrei" 10040 1198 100085 "Property damage" NA NA NA NA
"61" 211010 "Campi Flegrei" 10040 1198 100086 "Earthquakes (undefined)" NA NA NA NA
"62" 211010 "Campi Flegrei" 10040 1198 100087 "Blocks" NA NA NA NA
"63" 211010 "Campi Flegrei" 10041 1538 100089 "Explosion" NA NA NA NA
"64" 211010 "Campi Flegrei" 10041 1538 100090 "Ash" NA NA NA NA
"65" 211010 "Campi Flegrei" 10041 1538 100091 "Scoria" NA NA NA NA
"66" 211010 "Campi Flegrei" 10041 1538 100092 "Pyroclastic flow" NA NA NA NA
"67" 211010 "Campi Flegrei" 10041 1538 100093 "Phreatic activity" NA NA NA NA
"68" 211010 "Campi Flegrei" 10041 1538 100094 "Lava flow(s)" NA NA NA NA
"69" 211010 "Campi Flegrei" 10041 1538 100095 "Lava lake" NA NA NA NA
"70" 211010 "Campi Flegrei" 10041 1538 100096 "Property damage" NA NA NA NA
"71" 211010 "Campi Flegrei" 10041 1538 100097 "Fatalities" NA 1538 10 6
"72" 211010 "Campi Flegrei" 10041 1538 100098 "Evacuations" NA NA NA NA
"73" 211010 "Campi Flegrei" 10041 1538 100099 "Lava fountains" NA NA NA NA
"74" 211010 "Campi Flegrei" 10041 1538 100100 "Cinder cone formation" NA NA NA NA
"75" 211010 "Campi Flegrei" 10041 1538 100101 "Earthquakes (undefined)" "Before." NA NA NA
"76" 211010 "Campi Flegrei" 10041 1538 100102 "Earthquakes (undefined)" NA NA NA NA
"77" 211020 "Vesuvius" 10046 -1430 100103 "Scoria" NA NA NA NA
"78" 211020 "Vesuvius" 10046 -1430 100104 "Pyroclastic flow" NA NA NA NA
"79" 211020 "Vesuvius" 10046 -1430 100105 "Pumice" NA NA NA NA
"80" 211020 "Vesuvius" 10047 -880 100107 "Explosion" NA NA NA NA
"81" 211020 "Vesuvius" 10047 -880 100108 "Ash" NA NA NA NA
"82" 211020 "Vesuvius" 10047 -880 100109 "Lapilli" NA NA NA NA
"83" 211020 "Vesuvius" 10047 -880 100110 "Scoria" NA NA NA NA
"84" 211020 "Vesuvius" 10047 -880 100111 "Property damage" NA NA NA NA
"85" 211020 "Vesuvius" 10047 -880 100112 "Lahar or mudflow" NA NA NA NA
"86" 211020 "Vesuvius" 10047 -880 100113 "Pumice" NA NA NA NA
"87" 211020 "Vesuvius" 10048 -600 100115 "Explosion" NA NA NA NA
"88" 211020 "Vesuvius" 10048 -600 100116 "Pumice" NA NA NA NA
"89" 211020 "Vesuvius" 10049 -217 100118 "Explosion" NA NA NA NA
"90" 211020 "Vesuvius" 10049 -217 100119 "Ash" NA NA NA NA
"91" 211020 "Vesuvius" 10049 -217 100120 "Lapilli" NA NA NA NA
"92" 211020 "Vesuvius" 10049 -217 100121 "Scoria" NA NA NA NA
"93" 211020 "Vesuvius" 10049 -217 100122 "Lahar or mudflow" NA NA NA NA
"94" 211020 "Vesuvius" 10049 -217 100123 "Pumice" NA NA NA NA
"95" 211020 "Vesuvius" 10050 79 100125 "Explosion" "extremely violent or catastrophic" NA NA NA
"96" 211020 "Vesuvius" 10050 79 100126 "Ash" NA NA NA NA
"97" 211020 "Vesuvius" 10050 79 100127 "Lapilli" NA NA NA NA
"98" 211020 "Vesuvius" 10050 79 100128 "Pyroclastic flow" NA NA NA NA
"99" 211020 "Vesuvius" 10050 79 100129 "Property damage" NA NA NA NA
"100" 211020 "Vesuvius" 10050 79 100130 "Fatalities" NA 79 8 25
"101" 211020 "Vesuvius" 10050 79 100131 "Lahar or mudflow" NA NA NA NA
"102" 211020 "Vesuvius" 10050 79 100132 "Tsunami" NA NA NA NA
"103" 211020 "Vesuvius" 10050 79 100133 "Caldera formation" "Explosion" NA NA NA
"104" 211020 "Vesuvius" 10050 79 100134 "Evacuations" NA NA NA NA
"105" 211020 "Vesuvius" 10050 79 100135 "Eruption cloud" NA NA NA NA
"106" 211020 "Vesuvius" 10050 79 100136 "Seismicity (volcanic)" "Before eruption." NA NA NA
"107" 332010 "Kilauea" 10060 1790 100137 "Blocks" NA NA NA NA
"108" 332010 "Kilauea" 10061 1820 100139 "Ash" NA NA NA NA
"109" 332010 "Kilauea" 10061 1820 100140 "Lapilli" NA NA NA NA
"110" 332010 "Kilauea" 10061 1820 100141 "Lava flow(s)" NA NA NA NA
"111" 332010 "Kilauea" 10061 1820 100142 "Lava fountains" NA NA NA NA
"112" 332010 "Kilauea" 10061 1820 100143 "Pumice" NA NA NA NA
"113" 332010 "Kilauea" 10062 1823 100145 "Phreatic activity" NA NA NA NA
"114" 332010 "Kilauea" 10062 1823 100146 "Lava flow(s)" NA NA NA NA
"115" 332010 "Kilauea" 10062 1823 100147 "Property damage" NA NA NA NA
"116" 332010 "Kilauea" 10062 1823 100148 "Fatalities" NA 1823 2 NA
"117" 332010 "Kilauea" 10062 1823 100149 "Blocks" NA NA NA NA
"118" 332010 "Kilauea" 10062 1823 100150 "Lava flow(s)" "Entered water." NA NA NA
"119" 332010 "Kilauea" 10063 1823 100152 "Lava flow(s)" NA NA NA NA
"120" 332010 "Kilauea" 10063 1823 100153 "Lava lake" NA NA NA NA
"121" 332010 "Kilauea" 10063 1823 100154 "Earthquakes (undefined)" NA NA NA NA
"122" 332010 "Kilauea" 10063 1823 100155 "Partial collapse at end of eruption" NA NA NA NA
"123" 332010 "Kilauea" 10064 1832 100157 "Lava flow(s)" NA NA NA NA
"124" 332010 "Kilauea" 10064 1832 100158 "Earthquakes (undefined)" NA NA NA NA
"125" 332010 "Kilauea" 10065 1840 100160 "Lava flow(s)" NA NA NA NA
"126" 332010 "Kilauea" 10065 1840 100161 "Lava lake" NA NA NA NA
