"year" "core_loc" "value"
"1" 705.958 "neem" 13.64
"2" 705.958 "wdc" 14.585
"3" 705.875 "neem" 14.4
"4" 705.875 "wdc" 12.817
"5" 705.792 "neem" 15.78
"6" 705.792 "wdc" 11.271
"7" 705.708 "neem" 17.42
"8" 705.708 "wdc" 9.8681
"9" 705.625 "neem" 18.29
"10" 705.625 "wdc" 8.7793
"11" 705.542 "neem" 18.36
"12" 705.542 "wdc" 8.5262
"13" 705.458 "neem" 17.83
"14" 705.458 "wdc" 8.5077
"15" 705.375 "neem" 16.8
"16" 705.375 "wdc" 9.1211
"17" 705.292 "neem" 15.63
"18" 705.292 "wdc" 10.294
"19" 705.208 "neem" 15.07
"20" 705.208 "wdc" 11.818
"21" 705.125 "neem" 15.21
"22" 705.125 "wdc" 12.678
"23" 705.042 "neem" 16.22
"24" 705.042 "wdc" 13.653
"25" 704.958 "neem" 16.02
"26" 704.958 "wdc" 13.717
"27" 704.875 "neem" 14.23
"28" 704.875 "wdc" 12.887
"29" 704.792 "neem" 12.46
"30" 704.792 "wdc" 11.284
"31" 704.708 "neem" 11.06
"32" 704.708 "wdc" 9.9471
"33" 704.625 "neem" 10.61
"34" 704.625 "wdc" 9.0934
"35" 704.542 "neem" 11.19
"36" 704.542 "wdc" 8.0845
"37" 704.458 "neem" 11.5
"38" 704.458 "wdc" 7.9594
"39" 704.375 "neem" 11.67
"40" 704.375 "wdc" 8.3843
"41" 704.292 "neem" 12.35
"42" 704.292 "wdc" 9.4849
"43" 704.208 "neem" 13.62
"44" 704.208 "wdc" 11.12
"45" 704.125 "neem" 14.73
"46" 704.125 "wdc" 13.514
"47" 704.042 "neem" 14.51
"48" 704.042 "wdc" 15.313
"49" 703.958 "neem" 14.08
"50" 703.958 "wdc" 16.213
"51" 703.875 "neem" 12.93
"52" 703.875 "wdc" 16.235
"53" 703.792 "neem" 11.89
"54" 703.792 "wdc" 14.291
"55" 703.708 "neem" 11.09
"56" 703.708 "wdc" 11.84
"57" 703.625 "neem" 10.64
"58" 703.625 "wdc" 9.8742
"59" 703.542 "neem" 11.06
"60" 703.542 "wdc" 9.0508
"61" 703.458 "neem" 12.05
"62" 703.458 "wdc" 8.6457
"63" 703.375 "neem" 13.31
"64" 703.375 "wdc" 7.8141
"65" 703.292 "neem" 14.93
"66" 703.292 "wdc" 15.556
"67" 703.208 "neem" 16.15
"68" 703.208 "wdc" 14.623
"69" 703.125 "neem" 17
"70" 703.125 "wdc" 13.258
"71" 703.042 "neem" 17.4
"72" 703.042 "wdc" 11.496
"73" 702.958 "neem" 16.89
"74" 702.958 "wdc" 9.6132
"75" 702.875 "neem" 15.35
"76" 702.875 "wdc" 8.6202
"77" 702.792 "neem" 13.8
"78" 702.792 "wdc" 8.6325
"79" 702.708 "neem" 13.18
"80" 702.708 "wdc" 9.2305
"81" 702.625 "neem" 13.08
"82" 702.625 "wdc" 10.835
"83" 702.542 "neem" 13.17
"84" 702.542 "wdc" 12.803
"85" 702.458 "neem" 13.39
"86" 702.458 "wdc" 14.591
"87" 702.375 "neem" 13.85
"88" 702.375 "wdc" 16.652
"89" 702.292 "neem" 14.54
"90" 702.292 "wdc" 17.388
"91" 702.208 "neem" 15.11
"92" 702.208 "wdc" 16.316
"93" 702.125 "neem" 15.13
"94" 702.125 "wdc" 13.909
"95" 702.042 "neem" 14.7
"96" 702.042 "wdc" 10.88
"97" 701.958 "neem" 13.92
"98" 701.958 "wdc" 9.1351
"99" 701.875 "neem" 13.15
"100" 701.875 "wdc" 7.9909
"101" 701.792 "neem" 12.16
"102" 701.792 "wdc" 7.7199
"103" 701.708 "neem" 11.16
"104" 701.708 "wdc" 7.8739
"105" 701.625 "neem" 10.28
"106" 701.625 "wdc" 8.3468
"107" 701.542 "neem" 9.11
"108" 701.542 "wdc" 9.0129
"109" 701.458 "neem" 8.49
"110" 701.458 "wdc" 10.763
"111" 701.375 "neem" 8.02
"112" 701.375 "wdc" 13.879
"113" 701.292 "neem" 7.9
"114" 701.292 "wdc" 17.256
"115" 701.208 "neem" 7.64
"116" 701.208 "wdc" 19.978
"117" 701.125 "neem" 7.6
"118" 701.125 "wdc" 21.323
"119" 701.042 "neem" 7.64
"120" 701.042 "wdc" 19.809
"121" 700.958 "neem" 7.97
"122" 700.958 "wdc" 15.914
"123" 700.875 "neem" 8.69
"124" 700.875 "wdc" 11.941
"125" 700.792 "neem" 10.43
"126" 700.792 "wdc" 9.9246
"127" 700.708 "neem" 12.81
"128" 700.708 "wdc" 8.9612
"129" 700.625 "neem" 15.81
"130" 700.625 "wdc" 9.4744
"131" 700.542 "neem" 18.25
"132" 700.542 "wdc" 10.101
"133" 700.458 "neem" 19.2
"134" 700.458 "wdc" 10.516
"135" 700.375 "neem" 18.85
"136" 700.375 "wdc" 11.036
"137" 700.292 "neem" 18.5
"138" 700.292 "wdc" 10.974
"139" 700.208 "neem" 18.23
"140" 700.208 "wdc" 10.909
"141" 700.125 "neem" 17.89
"142" 700.125 "wdc" 10.634
"143" 700.042 "neem" 17.17
"144" 700.042 "wdc" 10.452
"145" 699.958 "neem" 15.91
"146" 699.958 "wdc" 10.856
"147" 699.875 "neem" 15.36
"148" 699.875 "wdc" 11.582
"149" 699.792 "neem" 14
"150" 699.792 "wdc" 13.32
"151" 699.708 "neem" 13.06
"152" 699.708 "wdc" 16.571
"153" 699.625 "neem" 12.33
"154" 699.625 "wdc" 20.035
"155" 699.542 "neem" 12.45
"156" 699.542 "wdc" 22.476
"157" 699.458 "neem" 13.08
"158" 699.458 "wdc" 23.494
"159" 699.375 "neem" 14.45
"160" 699.375 "wdc" 23.289
"161" 699.292 "neem" 16.61
"162" 699.292 "wdc" 21.974
"163" 699.208 "neem" 19.19
"164" 699.208 "wdc" 20.143
"165" 699.125 "neem" 21.68
"166" 699.125 "wdc" 18.437
"167" 699.042 "neem" 24.02
"168" 699.042 "wdc" 17.58
"169" 698.958 "neem" 26.15
"170" 698.958 "wdc" 17.713
"171" 698.875 "neem" 28.68
"172" 698.875 "wdc" 18.092
"173" 698.792 "neem" 30.11
"174" 698.792 "wdc" 19.031
"175" 698.708 "neem" 30.42
"176" 698.708 "wdc" 21.235
"177" 698.625 "neem" 29.99
"178" 698.625 "wdc" 23.037
"179" 698.542 "neem" 28.26
"180" 698.542 "wdc" 24.045
"181" 698.458 "neem" 25.62
"182" 698.458 "wdc" 25.484
"183" 698.375 "neem" 22.52
"184" 698.375 "wdc" 25.785
"185" 698.292 "neem" 19.81
"186" 698.292 "wdc" 24.769
"187" 698.208 "neem" 17.87
"188" 698.208 "wdc" 22.313
"189" 698.125 "neem" 15.9
"190" 698.125 "wdc" 18.434
"191" 698.042 "neem" 13.97
"192" 698.042 "wdc" 14.681
"193" 697.958 "neem" 12.27
"194" 697.958 "wdc" 12.372
"195" 697.875 "neem" 11.74
"196" 697.875 "wdc" 11.133
"197" 697.792 "neem" 11.65
"198" 697.792 "wdc" 10.079
"199" 697.708 "neem" 10.83
"200" 697.708 "wdc" 9.4613
"201" 697.625 "neem" 9.63
"202" 697.625 "wdc" 9.3853
"203" 697.542 "neem" 9.52
"204" 697.542 "wdc" 10.241
"205" 697.458 "neem" 10.35
"206" 697.458 "wdc" 11.216
"207" 697.375 "neem" 11.86
"208" 697.375 "wdc" 12.199
"209" 697.292 "neem" 12.82
"210" 697.292 "wdc" 12.751
"211" 697.208 "neem" 12.7
"212" 697.208 "wdc" 12.776
"213" 697.125 "neem" 11.72
"214" 697.125 "wdc" 12.127
"215" 697.042 "neem" 10.83
"216" 697.042 "wdc" 10.61
"217" 696.958 "neem" 10.53
"218" 696.958 "wdc" 9.151
"219" 696.875 "neem" 10.61
"220" 696.875 "wdc" 8.1954
"221" 696.792 "neem" 10.71
"222" 696.792 "wdc" 8.0549
"223" 696.708 "neem" 10.74
