"year" "measurement_type" "value"
"1" 2000 "n_tree" 1.1
"2" 2000 "europe_temp_index" 0.85
"3" 1999 "n_tree" 0.39
"4" 1999 "europe_temp_index" 0.79
"5" 1998 "n_tree" 1.13
"6" 1998 "europe_temp_index" 0.72
"7" 1997 "n_tree" 0.97
"8" 1997 "europe_temp_index" 0.87
"9" 1996 "n_tree" 1.07
"10" 1996 "europe_temp_index" 0.19
"11" 1995 "n_tree" 0.6
"12" 1995 "europe_temp_index" 0.49
"13" 1994 "n_tree" 1.84
"14" 1994 "europe_temp_index" 1.32
"15" 1993 "n_tree" 0.53
"16" 1993 "europe_temp_index" 0.32
"17" 1992 "n_tree" 0.36
"18" 1992 "europe_temp_index" 0.54
"19" 1991 "n_tree" 0.79
"20" 1991 "europe_temp_index" 0.69
"21" 1990 "n_tree" 0.87
"22" 1990 "europe_temp_index" 0.55
"23" 1989 "n_tree" 1.06
"24" 1989 "europe_temp_index" 0.43
"25" 1988 "n_tree" 1.08
"26" 1988 "europe_temp_index" 0.5
"27" 1987 "n_tree" -0.36
"28" 1987 "europe_temp_index" -0.26
"29" 1986 "n_tree" 1.1
"30" 1986 "europe_temp_index" 0.42
"31" 1985 "n_tree" 0.49
"32" 1985 "europe_temp_index" 0.03
"33" 1984 "n_tree" 0.44
"34" 1984 "europe_temp_index" -0.45
"35" 1983 "n_tree" 0.61
"36" 1983 "europe_temp_index" 0.47
"37" 1982 "n_tree" 0.63
"38" 1982 "europe_temp_index" 0.31
"39" 1981 "n_tree" -0.06
"40" 1981 "europe_temp_index" -0.19
"41" 1980 "n_tree" 0.87
"42" 1980 "europe_temp_index" 0.02
"43" 1979 "n_tree" 0.49
"44" 1979 "europe_temp_index" -0.1
"45" 1978 "n_tree" 0.55
"46" 1978 "europe_temp_index" -0.54
"47" 1977 "n_tree" 0.32
"48" 1977 "europe_temp_index" -0.52
"49" 1976 "n_tree" 0.21
"50" 1976 "europe_temp_index" 0.09
"51" 1975 "n_tree" -1.11
"52" 1975 "europe_temp_index" -0.39
"53" 1974 "n_tree" 0.02
"54" 1974 "europe_temp_index" -0.18
"55" 1973 "n_tree" -0.08
"56" 1973 "europe_temp_index" 0.1
"57" 1972 "n_tree" 0.3
"58" 1972 "europe_temp_index" -0.01
"59" 1971 "n_tree" 0.24
"60" 1971 "europe_temp_index" 0.05
"61" 1970 "n_tree" 0.64
"62" 1970 "europe_temp_index" 0.47
"63" 1969 "n_tree" 1.33
"64" 1969 "europe_temp_index" 0.37
"65" 1968 "n_tree" -0.47
"66" 1968 "europe_temp_index" -0.24
"67" 1967 "n_tree" 0.01
"68" 1967 "europe_temp_index" 0.12
"69" 1966 "n_tree" -0.62
"70" 1966 "europe_temp_index" -0.24
"71" 1965 "n_tree" -0.29
"72" 1965 "europe_temp_index" -0.8
"73" 1964 "n_tree" 0.2
"74" 1964 "europe_temp_index" -0.02
"75" 1963 "n_tree" 0.03
"76" 1963 "europe_temp_index" -0.18
"77" 1962 "n_tree" -0.55
"78" 1962 "europe_temp_index" -0.33
"79" 1961 "n_tree" -0.21
"80" 1961 "europe_temp_index" -0.11
"81" 1960 "n_tree" -0.03
"82" 1960 "europe_temp_index" 0.29
"83" 1959 "n_tree" 0.05
"84" 1959 "europe_temp_index" 0.69
"85" 1958 "n_tree" -0.23
"86" 1958 "europe_temp_index" 0.15
"87" 1957 "n_tree" -0.17
"88" 1957 "europe_temp_index" -0.09
"89" 1956 "n_tree" 0.13
"90" 1956 "europe_temp_index" -0.35
"91" 1955 "n_tree" 0.54
