"volcano_number" "volcano_name" "eruption_number" "eruption_category" "area_of_activity" "vei" "start_year" "start_month" "start_day" "evidence_method_dating" "end_year" "end_month" "end_day" "latitude" "longitude" "start_date" "end_date" "eruption_length_in_days"
"1" 266030 "Soputan" 22354 "Confirmed Eruption" NA NA 2020 3 23 "Historical Observations" 2020 4 2 1.112 124.737 2020-03-23 2020-04-02 10
"2" 343100 "San Miguel" 22355 "Confirmed Eruption" NA NA 2020 2 22 "Historical Observations" 2020 2 22 13.434 -88.269 2020-02-22 2020-02-22 0
"3" 233020 "Fournaise, Piton de la" 22343 "Confirmed Eruption" NA NA 2020 2 10 "Historical Observations" 2020 4 6 -21.244 55.708 2020-02-10 2020-04-06 56
"4" 345020 "Rincon de la Vieja" 22346 "Confirmed Eruption" NA NA 2020 1 31 "Historical Observations" 2020 4 17 10.83 -85.324 2020-01-31 2020-04-17 77
"5" 353010 "Fernandina" 22347 "Confirmed Eruption" NA NA 2020 1 12 "Historical Observations" 2020 1 12 -0.37 -91.55 2020-01-12 2020-01-12 0
"6" 273070 "Taal" 22344 "Confirmed Eruption" NA NA 2020 1 12 "Historical Observations" 2020 1 22 14.002 120.993 2020-01-12 2020-01-22 10
"7" 282050 "Kuchinoerabujima" 22345 "Confirmed Eruption" NA NA 2020 1 11 "Historical Observations" 2020 4 17 30.443 130.217 2020-01-11 2020-04-17 97
"8" 241040 "Whakaari/White Island" 22338 "Confirmed Eruption" "1978/90 Crater Complex" "2" 2019 12 9 "Historical Observations" 2019 12 9 -37.52 177.18 2019-12-09 2019-12-09 0
"9" 311060 "Semisopochnoi" 22341 "Confirmed Eruption" NA NA 2019 12 7 "Historical Observations" 2020 3 15 51.93 179.58 2019-12-07 2020-03-15 99
"10" 284096 "Nishinoshima" 22340 "Confirmed Eruption" NA "1" 2019 12 5 "Historical Observations" 2020 4 17 27.247 140.874 2019-12-05 2020-04-17 134
"11" 311240 "Cleveland" 22342 "Uncertain Eruption" NA NA 2019 11 7 "Historical Observations" 2019 12 7 52.825 -169.944 2019-11-07 2019-12-07 30
"12" 282060 "Kikai" 22339 "Confirmed Eruption" NA NA 2019 11 2 "Historical Observations" 2020 4 16 30.793 130.305 2019-11-02 2020-04-16 166
"13" 300260 "Klyuchevskoy" 22335 "Confirmed Eruption" NA NA 2019 10 24 "Historical Observations" 2020 4 17 56.056 160.642 2019-10-24 2020-04-17 176
"14" 243070 "Lateiki" 22334 "Confirmed Eruption" NA "1" 2019 10 13 "Historical Observations" 2019 10 22 -19.18 -174.87 2019-10-13 2019-10-22 9
"15" 283110 "Asamayama" 22326 "Confirmed Eruption" NA NA 2019 8 7 "Historical Observations" 2019 8 25 36.406 138.523 2019-08-07 2019-08-25 18
"16" 357090 "Copahue" 22336 "Confirmed Eruption" NA NA 2019 8 2 "Historical Observations" 2019 11 12 -37.856 -71.183 2019-08-02 2019-11-12 102
"17" 263090 "Tangkuban Parahu" 22325 "Confirmed Eruption" NA NA 2019 7 26 "Historical Observations" 2019 9 17 -6.77 107.6 2019-07-26 2019-09-17 53
"18" 311360 "Shishaldin" 22330 "Confirmed Eruption" "Summit crater" NA 2019 7 23 "Historical Observations" 2020 4 9 54.756 -163.97 2019-07-23 2020-04-09 261
"19" 351020 "Ruiz, Nevado del" 22329 "Confirmed Eruption" NA NA 2019 7 23 "Historical Observations" 2020 4 13 4.892 -75.324 2019-07-23 2020-04-13 265
"20" 311060 "Semisopochnoi" 22328 "Confirmed Eruption" NA NA 2019 7 16 "Historical Observations" 2019 8 24 51.93 179.58 2019-07-16 2019-08-24 39
"21" 252120 "Ulawun" 22319 "Confirmed Eruption" NA NA 2019 6 26 "Historical Observations" 2019 10 5 -5.05 151.33 2019-06-26 2019-10-05 101
"22" 354020 "Ubinas" 22324 "Confirmed Eruption" NA NA 2019 6 24 "Historical Observations" 2019 12 24 -16.355 -70.903 2019-06-24 2019-12-24 183
"23" 290250 "Raikoke" 22321 "Confirmed Eruption" NA NA 2019 6 22 "Historical Observations" 2019 7 1 48.292 153.25 2019-06-22 2019-07-01 9
"24" 233020 "Fournaise, Piton de la" 22318 "Confirmed Eruption" NA NA 2019 6 11 "Historical Observations" 2019 10 27 -21.244 55.708 2019-06-11 2019-10-27 138
"25" 311120 "Great Sitkin" 22322 "Confirmed Eruption" NA NA 2019 6 1 "Historical Observations" 2019 6 7 52.076 -176.13 2019-06-01 2019-06-07 6
"26" 290240 "Sarychev Peak" 22320 "Confirmed Eruption" NA "2" 2019 5 16 "Historical Observations" 2019 10 7 48.092 153.2 2019-05-16 2019-10-07 144
"27" 341040 "Colima" 22323 "Confirmed Eruption" NA NA 2019 5 11 "Historical Observations" 2019 7 12 19.514 -103.62 2019-05-11 2019-07-12 62
"28" 282110 "Asosan" 22317 "Confirmed Eruption" NA NA 2019 4 16 "Historical Observations" 2020 4 17 32.884 131.104 2019-04-16 2020-04-17 367
