"volcano_number" "volcano_name" "region" "subregion" "country" "latitude" "longitude" "tectonic_settings" "primary_volcano_type" "elevation" "last_eruption_year" "years_ago" "evidence_category" "population_within_5_km" "population_within_10_km" "population_within_30_km" "population_within_100_km" "major_rock_1" "major_rock_2" "major_rock_3" "major_rock_4" "major_rock_5" "minor_rock_1" "minor_rock_2" "minor_rock_3" "minor_rock_4" "minor_rock_5"
"1" 300023 "Kurile Lake" "Kamchatka and Mainland Asia" "Kamchatka Peninsula" "Russia" 51.45 157.12 "Subduction zone / Continental crust (>25 km)" "Caldera" 81 -6440 8460 "Eruption Dated" 23 23 397 4078 "Dacite" "Rhyolite" " " " " " " "Andesite / Basaltic Andesite" " " " " " " " "
"2" 341093 "Humeros, Los" "México and Central America" "Mexico" "Mexico" 19.68 -97.45 "Subduction zone / Continental crust (>25 km)" "Caldera" 3150 -4470 6490 "Eruption Dated" 7461 27331 566898 5710131 "Rhyolite" "Andesite / Basaltic Andesite" "Dacite" "Basalt / Picro-Basalt" " " "Trachyte / Trachydacite" " " " " " " " "
"3" 242021 "Macauley" "New Zealand to Fiji" "Kermadec Islands" "New Zealand" -30.21 -178.475 "Subduction zone / Oceanic crust (< 15 km)" "Caldera" 238 -4360 6380 "Eruption Dated" 0 0 0 0 "Basalt / Picro-Basalt" "Rhyolite" " " " " " " "Dacite" "Andesite / Basaltic Andesite" " " " " " "
"4" 341061 "Zitacuaro-Valle de Bravo" "México and Central America" "Mexico" "Mexico" 19.4 -100.25 "Subduction zone / Continental crust (>25 km)" "Caldera" 3500 -3050 5070 "Eruption Dated" 231977 231977 490440 4838069 "Dacite" "Andesite / Basaltic Andesite" "Basalt / Picro-Basalt" " " " " "Trachyandesite / Basaltic Trachyandesite" "Trachybasalt / Tephrite Basanite" " " " " " "
"5" 322160 "Crater Lake" "Canada and Western USA" "USA (Oregon)" "United States" 42.93 -122.12 "Subduction zone / Continental crust (>25 km)" "Caldera" 2487 -2850 4870 "Eruption Dated" 52 52 366 272674 "Dacite" "Andesite / Basaltic Andesite" " " " " " " "Basalt / Picro-Basalt" " " " " " " " "
"6" 355210 "Blanco, Cerro" "South America" "Northern Chile, Bolivia and Argentina" "Argentina" -26.789 -67.765 "Subduction zone / Continental crust (>25 km)" "Caldera" 4670 -2300 4320 "Eruption Dated" 39 39 65 14279 "Rhyolite" " " " " " " " " " " " " " " " " " "
"7" 213004 "Acigol-Nevsehir" "Mediterranean and Western Asia" "Turkey" "Turkey" 38.537 34.621 "Intraplate / Continental crust (>25 km)" "Caldera" 1683 -2080 4100 "Eruption Dated" 127863 127863 218469 2253483 "Rhyolite" "Dacite" "Basalt / Picro-Basalt" "Andesite / Basaltic Andesite" " " " " " " " " " " " "
"8" 325010 "Yellowstone" "Canada and Western USA" "USA (Wyoming)" "United States" 44.43 -110.67 "Rift zone / Continental crust (>25 km)" "Caldera" 2805 -1350 3370 "Eruption Dated" 0 0 234 20692 "Rhyolite" " " " " " " " " "Basalt / Picro-Basalt" " " " " " " " "
"9" 211003 "Vulsini" "Mediterranean and Western Asia" "Italy" "Italy" 42.6 11.93 "Subduction zone / Continental crust (>25 km)" "Caldera" 800 -104 2124 "Eruption Observed" 71789 71789 195475 4627250 "Trachyte / Trachydacite" "Trachybasalt / Tephrite Basanite" "Phonolite" "Foidite" "Phono-tephrite /  Tephri-phonolite" " " " " " " " " " "
"10" 357061 "Maule, Laguna del" "South America" "Central Chile and Argentina" "Chile" -36.058 -70.492 "Subduction zone / Continental crust (>25 km)" "Caldera" 2162 -50 2070 "Eruption Dated" 1045 1045 1521 169334 "Andesite / Basaltic Andesite" "Rhyolite" "Basalt / Picro-Basalt" "Dacite" " " " " " " " " " " " "
"11" 241061 "Maroa" "New Zealand to Fiji" "New Zealand" "New Zealand" -38.42 176.08 "Subduction zone / Continental crust (>25 km)" "Caldera" 897 180 1840 "Eruption Dated" 117 532 27958 475588 "Rhyolite" " " " " " " " " "Basalt / Picro-Basalt" "Andesite / Basaltic Andesite" " " " " " "
"12" 300170 "Uzon" "Kamchatka and Mainland Asia" "Kamchatka Peninsula" "Russia" 54.5 159.97 "Subduction zone / Continental crust (>25 km)" "Caldera" 1617 200 1820 "Eruption Dated" 0 0 294 9144 "Andesite / Basaltic Andesite" "Basalt / Picro-Basalt" "Dacite" "Rhyolite" " " " " " " " " " " " "
"13" 241070 "Taupo" "New Zealand to Fiji" "New Zealand" "New Zealand" -38.82 176 "Subduction zone / Continental crust (>25 km)" "Caldera" 760 260 1760 "Eruption Dated" 21456 21456 26674 161966 "Rhyolite" " " " " " " " " "Dacite" "Basalt / Picro-Basalt" " " " " " "
"14" 352011 "Pululahua" "South America" "Ecuador" "Ecuador" 0.038 -78.463 "Subduction zone / Continental crust (>25 km)" "Caldera" 3356 290 1730 "Eruption Dated" 534403 534403 1192411 3330856 "Dacite" " " " " " " " " " " " " " " " " " "
"15" 352003 "Cuicocha" "South America" "Ecuador" "Ecuador" 0.308 -78.364 "Subduction zone / Continental crust (>25 km)" "Caldera" 3246 650 1370 "Eruption Dated" 178815 178815 364146 3193683 "Dacite" " " " " " " " " " " " " " " " " " "
"16" 283200 "Naruko" "Japan, Taiwan, Marianas" "Honshu" "Japan" 38.729 140.734 "Subduction zone / Continental crust (>25 km)" "Caldera" 470 837 1183 "Eruption Observed" 54771 54771 210262 4417058 "Rhyolite" "Dacite" " " " " " " " " " " " " " " " "
