"primary_volcano_type" "mean_height" "mean_year" "mean_years_ago" "mean_5km_pop" "mean_10km_pop" "mean_30km_pop" "mean_100km_pop"
"1" "Caldera" 1566 839 1181 172713 175027 460604 2784041
"2" "Complex" 2047 1475 545 25576 46024 483922 4559789
"3" "Compound" 2687 16 2004 996 33252 194983 2170399
"4" "Crater rows" 423 232 1788 17713 17713 95767 198900
"5" "Fure vent" 948 1400 620 108557 165526 419650 2205834
"6" "Lava cone" 2751 2020 0 4471 4541 31637 529637
"7" "Lava dome" 1778 310 1710 193049 200863 400499 2953873
"8" "Maar" 1029 -2945 4965 36782 45192 201006 2338759
"9" "Pyroclic cone" 1596 -596 2616 138562 142578 212316 1583263
"10" "Pyroclicield" 2156 902 1118 829 23011 227073 570087
"11" "Shield" 1634 -309 2329 11659 14364 69091 922780
"12" "Stratovolcano" 2229 1202 818 7074 27850 370215 3595531
"13" "Subglacial" 1518 -1883 3903 12 12 142 42510
"14" "Submarine" -741 1716 304 8602 8776 11347 32212
"15" "Tuff cone" 1066 -840 2860 102940 107079 175592 2331779
"16" "Volcanic field" 1705 -954 2974 121252 121377 225691 1900027
